x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.73719,2.26537,0.437229
2.16686,2.34246,0.221071
2.5,2.5,-0.3
2.5,2.5,-0.3
1.79405,2.25288,-0.440267
-1.68975,2.09097,-0.566185
-2.9324,1.67725,0.208323
-2.5294,0.334745,0.334868
-2.18765,-0.228833,0.353626
-1.46516,-1.30791,0.381872
-0.821312,-2.04307,0.390028
-0.149572,-2.4062,0.375211
0.431812,-2.53497,0.334278
1.7397,-2.77749,0.196943
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.07809,-2.32731,1.23615
1.81942,-2.29864,1.30075
1.2131,-2.30856,1.32265
0.0152601,-2.4382,1.11574
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.50393,-0.429852,-1.05212
-4,4,-0.3
