x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.10804,2.29271,-0.810645
1.86619,2.28648,-0.65874
2.5,2.5,-0.3
2.5,2.5,-0.3
2.62262,1.82642,-0.238117
2.63599,1.03935,-0.183867
2.62353,0.651896,-0.17867
2.51316,-0.0793733,-0.401485
2.79199,-0.507346,-0.815046
2.84202,-0.927238,-0.871529
2.78011,-1.2949,-0.763901
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.31989,-2.58514,-0.353889
1.78477,-2.69764,-0.448338
1.5044,-2.69707,-0.470002
1.0335,-2.6787,-0.498248
0.485586,-2.62098,-0.50894
-0.60737,-2.5679,-0.430009
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.75362,0.0993354,-0.114973
-4,4,-0.3
