x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-1.74975,2.43656,-0.495988
0.854059,1.96397,-0.709754
2.18299,2.37349,-0.37693
2.5,2.5,-0.3
2.5,2.5,-0.3
2.54011,2.47125,-0.34408
2.64477,1.20133,-0.725426
2.63089,0.887077,-0.775495
2.52508,-0.159769,-0.646462
2.75852,-0.534639,-0.400476
2.79997,-0.6448,-0.349525
2.81224,-0.698319,-0.330057
2.78927,-1.17998,-0.259004
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.84872,-2.75366,0.788206
-0.0378247,-2.58596,0.638539
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.7182,-0.00187297,0.0185293
-4,4,-0.3
