x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.84285,1.88587,0.127597
1.97087,1.97769,0.0533307
2.5,2.5,-0.3
2.5,2.5,-0.3
1.8256,1.85414,-0.875476
-0.141,2.13227,-0.566898
-2.28478,0.176703,-0.219683
-2.25444,-0.174847,-0.283476
-0.141812,-2.42732,-0.18592
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.39658,-2.4753,-0.158025
-1.61933,-2.64726,-0.481576
-1.99353,-2.63256,-0.483746
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-3.11357,-1.56516,0.0913597
-3.08434,-1.22677,0.162523
-3.00192,-0.65461,0.273526
-2.71175,-0.152882,0.292563
-2.71534,0.254667,0.205004
-4,4,-0.3
