x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
0.927113,2.08819,1.20138
1.69495,1.9527,1.2868
2.04385,1.97753,1.09012
2.5,2.5,-0.3
2.5,2.5,-0.3
2.481,2.80568,-0.255569
1.705,2.89371,0.201889
1.10502,2.85234,0.403304
-0.286151,2.00996,0.256465
-2.43914,0.426279,0.0413963
-2.9936,-0.736615,0.193569
-3.18633,-1.40185,0.515257
-2.75837,-2.17479,0.520567
-1.58771,-2.81517,0.477181
0.537382,-2.49851,0.856728
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.43697,-0.627656,-0.99341
2.6383,1.10273,-0.962398
0.194795,2.27208,-0.411391
-0.824311,1.93237,-0.469362
-3.06645,-0.873171,-0.52001
-3.13696,-1.45567,-0.463608
-2.87744,-1.93935,-0.390738
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-3.28979,-1.49188,0.294075
-2.68948,-0.113613,0.284765
-2.86274,2.21236,-0.155126
-4,4,-0.3
