x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.70633,2.25678,-0.284829
2.04051,2.32543,-0.311311
2.5,2.5,-0.3
2.5,2.5,-0.3
2.62666,1.97077,-0.258417
2.64549,1.06172,-0.0275151
2.61941,0.765528,0.0735627
2.48956,-0.00626921,0.372618
2.757,-0.506765,0.525004
2.79622,-0.627662,0.544255
2.79285,-1.20889,0.372475
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.90034,-2.70098,-0.387426
1.64639,-2.72035,-0.378313
0.0544744,-2.57915,-0.224535
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.58181,-0.494805,-0.611074
-2.78173,0.270077,-0.674044
-4,4,-0.3
