x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.7165,1.89789,1.12691
2.07251,2.00469,0.709357
2.5,2.5,-0.3
2.5,2.5,-0.3
1.94452,1.93101,0.0541958
1.43264,1.90286,0.17147
0.360395,2.18264,0.169906
-1.35626,2.02627,-0.224367
-3.36828,-1.47172,0.284397
-1.99575,-2.67403,-0.0306479
0.789078,-2.49778,-0.0451715
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.5845,-2.47248,0.412701
-1.84101,-2.65727,0.0143237
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.48399,-1.96202,1.20338
-2.47202,-1.72923,1.44536
-2.47633,-0.601487,1.3975
-4,4,-0.3
