x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.76661,2.90477,0.624311
1.96432,2.83991,0.462742
2.5,2.5,-0.3
2.5,2.5,-0.3
2.79608,2.86935,-0.597783
0.466874,2.86585,0.325437
-2.82398,0.684131,0.368021
-2.33645,-0.156848,0.291385
-0.144212,-2.41094,0.436225
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.60996,-2.46599,-0.133965
-1.08359,-2.63993,-0.154557
-1.90297,-2.62522,-0.23432
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.99855,-1.8053,-0.268724
-3.37526,-0.702248,-0.195635
-2.82351,-0.265973,-0.127151
-2.5111,0.24226,-0.0338004
-4,4,-0.3
