x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-1.26261,2.25238,-0.275861
1.83498,2.27983,-0.469062
2.03938,2.34028,-0.425018
2.5,2.5,-0.3
2.5,2.5,-0.3
2.12566,2.3284,-0.895104
1.45776,2.24427,-0.645896
-0.352787,2.07843,-0.368732
-2.64034,-0.180664,0.368475
-2.53977,-0.39764,0.398585
-0.0875424,-2.57799,0.435342
1.6237,-2.74473,-0.0237626
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.80363,-2.71157,-0.329483
1.65592,-2.71782,-0.255669
-0.0565761,-2.58909,1.04471
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.65295,-0.00490627,-0.727826
-4,4,-0.3
