x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.76938,2.26098,-0.273825
1.91663,2.30262,-0.276692
2.5,2.5,-0.3
2.5,2.5,-0.3
1.9072,2.2243,-0.585997
-0.389334,2.11914,-0.432957
-2.20286,0.249019,-0.0711677
-2.36821,-0.0803664,-0.01684
-1.62049,-1.47418,-0.0544538
-0.542073,-2.20923,-0.200723
1.10272,-2.94193,-0.14484
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.3822,-2.65244,-0.40643
1.40561,-2.72256,-0.342285
0.0804508,-2.55064,-0.26431
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.26819,0.0693356,0.324697
-1.91395,0.826662,0.351341
-1.58456,1.35005,0.310779
-2.16631,2.37054,0.0974966
-4,4,-0.3
