x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-2.28781,2.472,-0.53811
1.77301,2.27538,-0.204287
1.9072,2.29958,-0.202344
2.5,2.5,-0.3
2.5,2.5,-0.3
2.20423,3.12376,0.386292
1.88046,3.21658,1.30482
1.86659,3.05835,1.39017
-1.4559,1.4683,1.25579
-2.35665,0.0240683,1.03546
-1.31689,-1.4879,0.321676
-0.081003,-2.45365,0.191549
1.65214,-2.75501,0.262417
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.75267,-2.75517,-0.392717
0.404774,-2.60918,-0.246344
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.40944,-0.323724,-0.455839
-4,4,-0.3
