x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.57902,2.94127,-0.115291
1.94219,2.85964,-0.171739
2.5,2.5,-0.3
2.5,2.5,-0.3
1.71045,1.65081,-0.187181
-0.0473258,2.14726,-0.380347
-1.18594,1.40694,-0.12336
-2.185,0.533898,0.1584
-2.94618,-0.720124,0.488075
-3.09569,-1.07911,0.569727
-3.09912,-1.57467,0.557086
-1.80512,-3.21607,-0.0991828
-0.321099,-2.62781,-0.454981
0.369123,-2.48719,-0.485144
2.5,-2.5,-0.3
2.5,-2.5,-0.3
0.502089,-2.44689,-0.723481
-1.40556,-2.66356,-0.626641
-1.92064,-2.62227,-0.539291
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.97291,-1.7613,0.184516
-3.10925,-1.52637,0.35268
-3.02272,-0.469082,1.00509
-2.7571,-0.144815,1.02806
-2.62932,0.185793,0.992409
-4,4,-0.3
