x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.83174,2.26408,-0.279007
2.5,2.5,-0.3
2.5,2.5,-0.3
2.64081,1.45717,0.253092
2.63728,0.713384,0.66686
2.55149,0.103139,1.05927
2.53485,-0.12249,1.20474
2.74397,-0.396595,1.05987
2.81034,-0.755941,0.806472
2.80221,-1.16113,0.535765
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.92429,-2.68192,-0.380972
1.7625,-2.68873,-0.426354
1.24118,-2.69027,-0.583
1.05227,-2.65965,-0.633436
-1.6872,-2.48079,-0.547481
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.7317,-0.123841,-0.182457
-2.80843,0.6533,-0.21094
-4,4,-0.3
