x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.42449,2.27546,-0.450494
1.86228,2.28913,-0.494599
1.99475,2.31668,-0.469173
2.5,2.5,-0.3
2.5,2.5,-0.3
2.62018,1.91989,-0.170501
2.63831,0.851348,0.105862
2.51412,-0.0385048,0.307324
2.533,-0.0928622,0.312266
2.79673,-0.51947,0.0443469
2.7947,-1.16155,-0.0821376
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.8153,-2.69241,-0.267109
1.45938,-2.7025,-0.155937
0.416036,-2.61995,-0.148847
-0.580836,-2.56358,-0.182785
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.73968,0.0974823,-0.323964
-4,4,-0.3
