x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.64332,2.14793,-0.24545
2.5,2.5,-0.3
2.5,2.5,-0.3
1.71654,2.22945,-0.522758
-2.48662,2.00344,-0.83586
-3.05138,1.36987,-0.570454
-2.34026,-1.08776,-0.15398
-0.750483,-2.271,0.532549
-0.0100755,-2.42055,0.835237
0.225727,-2.41155,0.917612
1.25844,-1.7343,-0.356602
1.89964,-1.78727,-0.969553
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.9003,-2.72803,0.0365543
0.27093,-2.67354,0.369587
0.0597728,-2.57875,0.283092
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.27092,0.259054,-0.615282
-1.65555,1.34722,-0.0912177
-1.93366,1.9561,-0.122828
-4,4,-0.3
