x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.59295,2.24948,-0.39333
1.90676,2.2791,-0.396294
2.5,2.5,-0.3
2.5,2.5,-0.3
2.63232,1.32591,-0.356446
2.63697,0.99908,-0.449989
2.60933,0.547537,-0.675845
2.53123,0.0344242,-1.08958
2.53555,-0.103656,-1.15219
2.82648,-0.68369,-0.684203
2.81357,-1.07492,-0.539909
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.33232,-2.62405,-0.336783
1.70476,-2.71872,-0.36904
0.0120708,-2.59434,-0.335758
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.71412,-0.203721,-1.13567
-2.77258,0.224284,-1.22373
-4,4,-0.3
