x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
0.761847,2.23225,-0.423076
1.88198,2.29186,-0.300627
2.5,2.5,-0.3
2.5,2.5,-0.3
2.72581,1.5773,-0.266006
2.62442,0.829192,-0.148371
2.53646,-0.0482195,-0.0666428
2.55794,-0.140449,-0.108605
2.78566,-0.583956,-0.096325
2.81116,-0.955626,-0.117834
2.76697,-1.406,-0.160135
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.85493,-2.68453,-0.282179
1.76948,-2.69434,-0.276787
1.3399,-2.69012,-0.243478
-0.626474,-2.48719,-0.087065
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.73818,0.0534091,-0.703965
-2.7627,0.14655,-0.682633
-4,4,-0.3
