xmin,xmax,ymin,ymax,zmin,zmax
4.88,5,-5,5,-1.5,1.5
-5,-4.88,-5,5,-1.5,1.5
-5,5,4.88,5,-1.5,1.5
-5,5,-5,-4.88,-1.5,1.5
-0.06,0.06,0,1.9,-1.5,1.5
-0.06,0.06,3.1,5,-1.5,1.5
-0.06,0.06,-5,-2.8,-1.5,1.5
-0.06,0.06,-2.2,0,-1.5,1.5
-5,-2.95,-0.06,0.06,-1.5,1.5
-2.05,0,-0.06,0.06,-1.5,1.5
0,2.25,-0.06,0.06,-1.5,1.5
2.75,5,-0.06,0.06,-1.5,1.5
-1.75925,-1.25925,3.00023,3.50023,-1.5,1.1
-2.76922,-2.26922,3.34458,3.84458,-1.5,1.1
3.24852,3.74852,4.19855,4.69855,-1.5,1.1
1.35988,1.85988,1.49599,1.99599,-1.5,1.1
4.07257,4.57257,0.882992,1.38299,-1.5,1.1
4.06405,4.56405,3.64795,4.14795,-1.5,1.1
1.14262,1.64262,0.316478,0.816478,-1.5,1.1
2.14625,2.64625,3.36378,3.86378,-1.5,1.1
-3.8004,-3.3004,-3.92648,-3.42648,-1.5,1.1
-2.33093,-1.83093,-1.86724,-1.36724,-1.5,1.1
-2.87033,-2.37033,-0.912748,-0.412748,-1.5,1.1
-4.41984,-3.91984,-3.35447,-2.85447,-1.5,1.1
3.07388,3.57388,-1.98884,-1.48884,-1.5,1.1
2.45877,2.95877,-4.02974,-3.52974,-1.5,1.1
1.54001,2.04001,-3.66949,-3.16949,-1.5,1.1
2.41931,2.91931,-3.73339,-3.23339,-1.5,1.1
1.72289,2.22289,-4.07372,-3.57372,-1.5,1.1
1.537,2.037,-1.88548,-1.38548,-1.5,1.1
3.44466,3.94466,-1.5636,-1.0636,-1.5,1.1
2.60031,3.10031,-4.17661,-3.67661,-1.5,1.1
