xmin,xmax,ymin,ymax,zmin,zmax
4.88,5,-5,5,-1.5,1.5
-5,-4.88,-5,5,-1.5,1.5
-5,5,4.88,5,-1.5,1.5
-5,5,-5,-4.88,-1.5,1.5
-0.06,0.06,0,1.9,-1.5,1.5
-0.06,0.06,3.1,5,-1.5,1.5
-0.06,0.06,-5,-2.8,-1.5,1.5
-0.06,0.06,-2.2,0,-1.5,1.5
-5,-2.95,-0.06,0.06,-1.5,1.5
-2.05,0,-0.06,0.06,-1.5,1.5
0,2.25,-0.06,0.06,-1.5,1.5
2.75,5,-0.06,0.06,-1.5,1.5
-2.48691,-1.98691,3.13102,3.63102,-1.5,1.1
-1.82484,-1.32484,3.61977,4.11977,-1.5,1.1
1.41381,1.91381,3.75136,4.25136,-1.5,1.1
3.90918,4.40918,0.900097,1.4001,-1.5,1.1
1.12257,1.62257,3.56605,4.06605,-1.5,1.1
0.295127,0.795127,1.34413,1.84413,-1.5,1.1
1.97498,2.47498,1.36907,1.86907,-1.5,1.1
1.72974,2.22974,3.03201,3.53201,-1.5,1.1
-4.62269,-4.12269,-3.05598,-2.55598,-1.5,1.1
-0.832906,-0.332906,-2.22114,-1.72114,-1.5,1.1
-1.93792,-1.43792,-1.51072,-1.01072,-1.5,1.1
-2.34421,-1.84421,-0.996657,-0.496657,-1.5,1.1
4.11069,4.61069,-1.55402,-1.05402,-1.5,1.1
2.49016,2.99016,-0.838568,-0.338568,-1.5,1.1
0.538139,1.03814,-3.96539,-3.46539,-1.5,1.1
2.23639,2.73639,-0.904676,-0.404676,-1.5,1.1
0.644361,1.14436,-1.99305,-1.49305,-1.5,1.1
3.4661,3.9661,-2.53795,-2.03795,-1.5,1.1
0.489757,0.989757,-0.865523,-0.365523,-1.5,1.1
3.36997,3.86997,-3.81873,-3.31873,-1.5,1.1
