x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-1.8317,2.3538,-0.395337
1.8746,2.28528,-0.175669
2.5,2.5,-0.3
2.5,2.5,-0.3
2.19723,2.39069,-0.0749821
1.44228,2.15329,0.444773
-0.145782,2.12642,0.23694
-1.69613,0.973905,-0.284692
-2.47329,-0.189892,-0.682663
-0.755814,-2.21194,-0.952762
0.335891,-2.51974,-0.545638
1.35125,-2.72228,-0.0988028
1.68769,-2.7281,-0.0459379
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.73187,-2.72306,-0.30571
0.271841,-2.61138,0.101721
-1.16066,-2.43758,0.15938
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.25447,0.259313,-1.12007
-1.82725,0.884813,-1.02392
-1.77296,1.62678,-0.879877
-4,4,-0.3
