x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.69637,2.2694,-0.914418
1.93421,2.30995,-0.772568
2.5,2.5,-0.3
2.5,2.5,-0.3
2.62696,1.39595,0.729573
2.65828,0.767244,1.09627
2.61342,0.468765,1.08485
2.32988,-0.473127,1.26648
2.23932,-0.740503,1.32637
2.02618,-1.19083,1.3893
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.89166,-2.68493,0.0540866
1.79003,-2.69686,0.105321
1.24894,-2.68711,0.336782
-0.0600131,-2.58008,0.803619
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.64547,-0.324358,-0.713454
-2.83384,0.406394,-0.825738
-4,4,-0.3
