x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
0.411932,2.31678,0.0908906
1.91375,2.28052,-0.0558138
2.5,2.5,-0.3
2.5,2.5,-0.3
2.61463,1.54238,-0.419582
2.63447,1.31098,-0.453823
2.6265,0.680581,-0.589306
2.50448,-0.0820525,-0.829673
2.79187,-0.492224,-0.437644
2.79183,-1.17542,-0.217424
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.16017,-2.61004,-0.378775
1.81582,-2.68866,-0.429186
1.21694,-2.68865,-0.403375
0.0633612,-2.59935,-0.294171
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.69267,-0.121156,-1.04598
-2.97387,0.844946,-0.98036
-4,4,-0.3
