x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
-2.13186,2.42006,-0.286281
1.12066,2.11098,0.143616
1.45843,2.10283,0.168445
1.84334,2.10564,0.184439
1.91179,2.10917,0.1842
2.5,2.5,-0.3
2.5,2.5,-0.3
2.5,-2.5,-0.3
2.5,-2.5,-0.3
1.19476,-2.34923,-0.305519
1.00626,-2.3425,-0.317895
0.673357,-2.34197,-0.343432
0.52895,-2.34817,-0.356591
0.147969,-2.39145,-0.397007
-1.91936,-2.60713,-0.279965
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.63657,-2.12921,-0.182026
-2.70388,-1.66246,-0.0617983
-2.73344,-0.0720003,0.199207
-2.80277,0.587391,0.237846
-4,4,-0.3
