x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
0.114003,2.18912,0.265279
1.89644,2.28047,-0.087397
2.5,2.5,-0.3
2.5,2.5,-0.3
1.90408,2.27018,-0.20481
-0.194642,2.09148,0.0114607
-2.70806,1.8137,0.843685
-2.80836,0.964428,0.57551
-2.08372,-0.44299,0.149432
-1.47272,-1.273,0.0746427
-0.844826,-2.08331,0.0133813
0.288566,-2.59021,-0.000777675
1.58736,-2.75441,-0.357083
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.06545,-1.88771,0.244494
1.59149,-1.6236,0.560324
0.673975,-1.94631,1.05469
0.250138,-2.33054,1.26823
-0.0248636,-2.46728,1.15624
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.5915,-0.702132,0.229132
-2.02803,0.580419,0.54549
-1.68563,1.28308,0.512318
-1.67964,1.59232,0.464763
-4,4,-0.3
