x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.83008,2.19609,0.00791868
2.5,2.5,-0.3
2.5,2.5,-0.3
1.65839,2.2013,-0.141722
-0.318117,2.0863,-0.497193
-2.47998,1.82938,-0.891774
-2.94988,1.68767,-0.954879
-2.70189,0.571321,-1.18453
-1.40623,-1.46525,-0.879409
-0.171001,-2.44853,-0.736894
0.682706,-2.59591,-0.799443
1.66528,-2.75055,-0.711764
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.1032,-2.6506,-0.0948893
1.23155,-2.7619,0.325497
-0.670313,-2.47247,0.69336
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.22611,-0.368101,0.287073
-4,4,-0.3
