x,y,z
-4,4,-0.3
-2.5,2.5,-0.3
-2.5,2.5,-0.3
1.47918,1.89945,-0.433988
1.94071,1.90571,-0.608223
2.5,2.5,-0.3
2.5,2.5,-0.3
1.79649,1.61767,0.790937
0.342265,2.1792,1.10122
-0.300877,2.11481,1.06124
-2.56274,0.660313,0.463244
-2.22152,-0.16943,-0.0522113
-0.213985,-2.42017,-0.0725248
2.5,-2.5,-0.3
2.5,-2.5,-0.3
2.50566,-2.47984,-0.256297
-0.145913,-2.41643,0.290465
-0.707963,-1.99855,0.324653
-2.38881,-0.72527,0.438065
-3.16287,-0.895919,0.492325
-3.24704,-1.23376,0.393468
-2.98613,-1.74104,0.127315
-2.5,-2.5,-0.3
-2.5,-2.5,-0.3
-2.93305,-2.05289,-0.431462
-3.06596,-1.55151,-0.568358
-3.09957,-1.10927,-0.686616
-3.03,-0.912283,-0.736768
-2.64312,-0.27003,-0.895513
-3.43134,2.53524,-0.656674
-4,4,-0.3
